Run Number,Lattice Length,Probability,Survival Time,Starting Position,Final Position,Initial Energy,Maximum Time
1,10,0.1,50,0,4,50,1000
2,10,0.1,50,10,6,50,1000
3,10,0.2,54,10,2,50,1000
4,10,0.2,52,10,7,50,1000
5,10,0.3,56,0,9,50,1000
6,10,0.3,52,10,9,50,1000
7,10,0.4,56,10,7,50,1000
8,10,0.4,52,10,7,50,1000
9,10,0.5,78,0,10,50,1000
10,10,0.5,76,10,3,50,1000
11,10,0.6,76,10,9,50,1000
12,10,0.6,62,0,0,50,1000
13,10,0.7000000000000001,56,0,5,50,1000
14,10,0.7000000000000001,66,0,6,50,1000
15,10,0.8,226,0,6,50,1000
16,10,0.8,102,10,4,50,1000
17,10,0.9,1000,0,0,50,1000
18,10,0.9,408,0,3,50,1000
19,11,0.1,52,0,3,50,1000
20,11,0.1,50,0,6,50,1000
21,11,0.2,56,11,6,50,1000
22,11,0.2,50,11,7,50,1000
23,11,0.3,56,0,5,50,1000
24,11,0.3,56,0,5,50,1000
25,11,0.4,68,0,9,50,1000
26,11,0.4,70,11,3,50,1000
27,11,0.5,50,11,5,50,1000
28,11,0.5,94,11,7,50,1000
29,11,0.6,52,11,6,50,1000
30,11,0.6,56,11,6,50,1000
31,11,0.7000000000000001,182,0,0,50,1000
32,11,0.7000000000000001,56,0,5,50,1000
33,11,0.8,72,0,7,50,1000
34,11,0.8,70,0,4,50,1000
35,11,0.9,678,0,8,50,1000
36,11,0.9,50,0,4,50,1000
37,12,0.1,52,0,11,50,1000
38,12,0.1,50,0,8,50,1000
39,12,0.2,58,0,4,50,1000
40,12,0.2,54,12,4,50,1000
41,12,0.3,60,0,3,50,1000
42,12,0.3,54,12,6,50,1000
43,12,0.4,54,0,4,50,1000
44,12,0.4,54,12,6,50,1000
45,12,0.5,70,0,2,50,1000
46,12,0.5,72,12,9,50,1000
47,12,0.6,76,0,5,50,1000
48,12,0.6,58,12,8,50,1000
49,12,0.7000000000000001,102,12,6,50,1000
50,12,0.7000000000000001,74,0,6,50,1000
51,12,0.8,66,12,6,50,1000
52,12,0.8,180,0,9,50,1000
53,12,0.9,94,0,4,50,1000
54,12,0.9,166,0,8,50,1000
55,13,0.1,50,0,8,50,1000
56,13,0.1,50,13,11,50,1000
57,13,0.2,64,0,1,50,1000
58,13,0.2,52,13,12,50,1000
59,13,0.3,58,13,3,50,1000
60,13,0.3,54,0,0,50,1000
61,13,0.4,94,0,6,50,1000
62,13,0.4,58,0,8,50,1000
63,13,0.5,72,0,13,50,1000
64,13,0.5,64,13,10,50,1000
65,13,0.6,54,13,9,50,1000
66,13,0.6,56,0,7,50,1000
67,13,0.7000000000000001,98,13,3,50,1000
68,13,0.7000000000000001,66,0,2,50,1000
69,13,0.8,66,13,3,50,1000
70,13,0.8,106,13,5,50,1000
71,13,0.9,184,0,1,50,1000
72,13,0.9,76,13,8,50,1000
73,14,0.1,50,0,8,50,1000
74,14,0.1,50,0,0,50,1000
75,14,0.2,50,14,6,50,1000
76,14,0.2,58,0,0,50,1000
77,14,0.3,56,14,5,50,1000
78,14,0.3,54,0,4,50,1000
79,14,0.4,64,0,11,50,1000
80,14,0.4,52,0,5,50,1000
81,14,0.5,66,14,12,50,1000
82,14,0.5,52,0,3,50,1000
83,14,0.6,56,0,7,50,1000
84,14,0.6,76,14,9,50,1000
85,14,0.7000000000000001,72,0,5,50,1000
86,14,0.7000000000000001,52,14,5,50,1000
87,14,0.8,54,14,12,50,1000
88,14,0.8,204,0,3,50,1000
89,14,0.9,68,14,3,50,1000
90,14,0.9,382,0,4,50,1000
91,2,0.66667,1000,0,0,50,1000
92,2,0.66667,1000,0,0,50,1000
93,2,0.75,1000,0,1,50,1000
94,2,0.75,1000,2,2,50,1000
95,3,0.66667,1000,0,2,50,1000
96,3,0.66667,148,3,2,50,1000
97,3,0.75,1000,3,0,50,1000
98,3,0.75,1000,0,0,50,1000
99,4,0.8,886,4,2,50,1000
100,4,0.8,114,4,2,50,1000
101,4,0.8,1000,4,0,50,1000
102,4,0.8,1000,4,4,50,1000
